assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_in,transfers_out,value,yellow_cards,player,Involved
0,0,3,0,0.0,510,0.0,0.0,0.0,0.16,0,0,0.0,0.0,1,0,0,0,0,0,37436,0,2,0,0.0,1,613,1281,49,0,Aaron_Hickey_510,1
0,0,14,0,11.3,510,0.07,0.09,0.02,0.75,1,0,2.3,8.8,90,0,0,0,0,0,36589,1,1,2,3.0,2,1014,1795,49,0,Aaron_Hickey_510,1
0,0,5,0,11.3,510,0.01,0.01,0.0,2.08,1,0,1.6,4.2,87,0,0,0,0,0,36044,1,0,1,0.0,2,647,1493,49,0,Aaron_Hickey_510,1
0,0,23,1,21.9,510,0.03,0.1,0.07,0.22,0,0,3.7,10.2,84,0,0,0,0,0,36009,1,0,2,5.0,5,668,809,49,1,Aaron_Hickey_510,1
1,0,23,0,13.7,510,0.06,0.06,0.0,1.22,1,0,3.2,18.6,88,0,0,0,0,0,36006,1,3,1,0.0,5,783,846,49,0,Aaron_Hickey_510,1
0,0,20,1,0.0,510,0.02,0.02,0.0,0.57,0,0,0.0,0.0,69,0,0,0,0,0,39252,1,0,1,0.0,6,3331,678,49,0,Aaron_Hickey_510,1
0,0,25,1,0.0,15,0.01,0.01,0.0,1.21,0,0,1.9,19.0,90,0,0,0,0,2,1128297,1,2,0,0.0,6,0,0,50,0,Aaron_Ramsdale_15,1
0,0,10,0,0.0,15,0.0,0.0,0.0,0.46,2,0,1.2,11.6,90,0,0,0,0,1,1369348,1,2,4,0.0,1,93632,62345,50,0,Aaron_Ramsdale_15,1
0,0,20,1,0.0,15,0.0,0.0,0.0,0.28,0,0,0.8,7.6,90,0,0,0,0,1,1366505,1,3,0,0.0,6,88334,149693,50,0,Aaron_Ramsdale_15,1
0,0,12,0,0.0,15,0.0,0.0,0.0,0.83,1,0,1.9,18.8,90,0,0,0,0,2,1422476,1,1,2,0.0,2,88190,100359,50,0,Aaron_Ramsdale_15,1
