player,element,assists,bonus,bps,clean_sheets,creativity,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_in,transfers_out,value,yellow_cards,Involved
Dennis_Praet_549,549,1,0,115,2,66.9,0.43,1.47,1.04,11.82,10,1,22.7,96.4,635,0,0,0,0,0,2196.3947368421054,6,55,64,64.0,34,1919,3165,1838,1,22
Dexter_Lembikisa_664,664,0,0,3,0,0.8,0.0,0.0,0.0,0.43,1,0,0.2,1.4,22,0,0,0,0,0,2317.0,0,18,41,0.0,1,3736,2959,960,0,1
Diego Carlos_Santos Silva_50,50,0,0,20,0,13.200000000000001,0.11,0.47,0.36000000000000004,1.92,3,0,7.000000000000001,24.8,205,0,0,0,0,0,28865.28947368421,2,39,58,32.0,4,16280,101436,1801,0,3
Diego_Da Silva Costa_625,625,0,3,40,6,144.3,0.6,3.8200000000000003,3.22,21.15,17,1,73.3,96.8,1235,0,0,0,1,0,36549.8125,16,30,52,504.0,33,183647,164159,1730,5,23
Diego_Llorente_228,228,0,2,115,1,5.8,0.03,0.75,0.72,11.0,12,0,14.6,99.0,648,0,0,0,0,0,27975.342105263157,7,59,67,40.0,16,29037,43790,1682,1,8
Diogo_Dalot Teixeira_342,342,2,19,502,10,418.6,1.53,4.0200000000000005,2.4899999999999998,34.27,34,1,116.0,469.4,2152,0,0,0,0,0,673622.3947368421,24,32,69,272.0,102,2706034,2745482,1771,6,26
Diogo_Pinheiro Monteiro_743,743,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,1080.764705882353,0,32,30,0.0,0,2512,1822,680,0,0
Diogo_Teixeira da Silva_288,288,4,9,282,5,237.9,1.7,8.08,6.38,17.76,19,7,87.5,304.2,1125,0,0,0,0,0,114757.94736842105,12,46,76,337.0,80,1121457,771566,3352,2,22
Divin_Mubama_669,669,0,0,7,0,11.4,0.01,0.01,0.0,1.07,0,0,1.4,2.4000000000000004,36,0,0,0,0,0,4484.826086956522,0,27,41,0.0,3,15643,9751,1035,0,3
Djed_Spence_522,522,0,0,10,0,1.3,0.0,0.06,0.06,0.47,0,0,2.2,0.2,5,0,0,0,0,0,25368.657894736843,0,58,75,20.0,4,14560,59788,1581,0,4
Dominic_Ballard_770,770,0,0,4,0,0.3,0.0,0.0,0.0,1.06,0,0,0.1,1.0,24,0,0,0,0,0,257.5,0,5,7,0.0,2,449,41,90,0,2
Dominic_Calvert-Lewin_191,191,1,2,89,4,122.4,0.72,6.62,5.9,23.13,22,2,66.4,138.4,1166,0,0,0,0,0,36025.07894736842,15,45,46,409.0,40,167822,197221,3004,3,17
Dominic_Sadi_697,697,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,1727.15,0,26,25,0.0,0,5597,4181,900,0,0
Dominic_Solanke_66,66,10,14,339,8,279.9,2.3000000000000003,11.39,9.09,51.51,52,6,184.4,524.8,2865,0,0,0,0,0,302159.7105263158,32,45,63,1046.0,130,2034357,1760809,2154,2,33
Dominic_Thompson_98,98,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2177.2894736842104,0,41,63,0.0,0,0,2961,1520,0,0
