player,element,assists,bonus,bps,clean_sheets,creativity,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,starts,threat,total_points,transfers_in,transfers_out,yellow_cards,Involved,price_start,price_end,profit_or_loss,Net Transfers,90s completed,expected_assists_per90,expected_goal_involvements_per90,expected_goals_per90,expected_goals_conceded_per90,goals_per_90,goals_conceded_per_90,saves_per_90,assists_per_90,bonus_points_per_90
Sepp van den Berg,500,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,17760.0,0,0.0,0,10688,27140,0,0,£4.0,£4.0,£0.0,-16452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serge Aurier,628,0,8,336,6,164.1,0.9199999999999999,1.6600000000000001,0.74,33.13,31,1,70.9,431.0,1943,0,0,0,0,0,45396.0,22,112.0,70,234672,219436,2,24,£4.5,£4.3,£-0.2,15236,21.58888888888889,0.042614513638703035,0.0768914050437468,0.034276891405043745,1.5345856922285128,0.04632012352032939,1.435923829130211,0.0,0.0,0.3705609881626351
Sergi Canós Tenés,82,0,0,14,0,13.5,0.04,0.11000000000000001,0.07,1.79,2,0,2.8,7.0,73,0,0,0,0,0,8507.0,0,6.0,5,34858,32861,0,5,£5.0,£5.0,£0.0,1997,0.8111111111111111,0.049315068493150684,0.1356164383561644,0.0863013698630137,2.206849315068493,0.0,2.4657534246575343,0.0,0.0,0.0
Sergio Gómez,587,1,1,83,1,52.8,1.05,1.42,0.37,5.9,6,0,14.3,66.2,340,0,0,0,0,0,9401.0,2,24.0,21,40214,31992,0,12,£4.5,£4.4,£-0.1,8222,3.7777777777777777,0.27794117647058825,0.37588235294117645,0.09794117647058824,1.5617647058823532,0.0,1.5882352941176472,0.0,0.2647058823529412,0.2647058823529412
Sergio Reguilón,438,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,53102.0,0,0.0,0,17585,198325,0,0,£4.5,£4.2,£-0.3,-180740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shandon Baptiste,94,2,0,123,1,144.5,0.53,0.85,0.32,7.51,6,0,30.7,107.8,600,0,0,0,1,0,24840.0,4,54.0,29,35913,55024,1,23,£4.5,£4.5,£0.0,-19111,6.666666666666667,0.0795,0.1275,0.048,1.1264999999999998,0.0,0.8999999999999999,0.0,0.3,0.0
Shane Duffy,105,0,0,12,0,0.2,0.0,0.16,0.16,1.56,4,0,0.2,0.2,17,0,0,0,0,0,15625.0,0,7.0,4,5503,22280,0,5,£4.5,£4.2,£-0.3,-16777,0.18888888888888888,0.0,0.8470588235294118,0.8470588235294118,8.258823529411766,0.0,21.176470588235293,0.0,0.0,0.0
Shea Charles,773,0,0,3,0,0.0,0.0,0.0,0.0,0.05,1,0,0.0,0.0,27,0,0,0,0,0,6.0,0,0.0,1,17,2,0,1,£4.5,£4.5,£0.0,15,0.3,0.0,0.0,0.0,0.16666666666666669,0.0,3.3333333333333335,0.0,0.0,0.0
Shola Shoretire,660,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2108.0,0,0.0,0,5073,5219,0,0,£4.5,£4.5,£0.0,-146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sil Swinkels,744,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,1533.0,0,0.0,0,3056,1853,0,0,£4.0,£4.0,£0.0,1203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Siriki Dembélé,74,0,0,20,0,52.300000000000004,0.21,0.37,0.16,2.28,2,0,11.3,31.8,104,0,0,0,0,0,7950.0,0,28.0,6,4061,11258,0,6,£5.0,£4.7,£-0.3,-7197,1.1555555555555554,0.18173076923076925,0.3201923076923077,0.13846153846153847,1.9730769230769232,0.0,1.7307692307692308,0.0,0.0,0.0
Solly March,107,10,16,559,10,965.8,5.9,12.91,7.01,37.58,40,6,271.4,791.8,2719,0,0,0,0,0,568912.0,31,955.0,147,3895044,3289037,2,33,£5.0,£5.2,£0.2,606007,30.211111111111112,0.19529238690695108,0.42732622287605737,0.23203383596910626,1.243913203383597,0.1986024273630011,1.3240161824200074,0.0,0.33100404560500185,0.5296064729680029
